,Provincias,Ramas de actividad,periodo,Total
387,10 Cáceres,Valor añadido bruto total,2021,7.171.434
388,10 Cáceres,Valor añadido bruto total,2020,6.571.744
389,10 Cáceres,Valor añadido bruto total,2019,7.245.047
390,10 Cáceres,Impuestos netos sobre los productos,2021,755.092
391,10 Cáceres,Impuestos netos sobre los productos,2020,630.242
392,10 Cáceres,Impuestos netos sobre los productos,2019,743.310
393,10 Cáceres,PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2021,7.926.526
394,10 Cáceres,PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2020,7.201.986
395,10 Cáceres,PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2019,7.988.357
396,11 Cádiz,PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2021,22.635.742
397,11 Cádiz,PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2020,20.253.717
398,11 Cádiz,PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2019,23.153.892
399,11 Cádiz,"A. Agricultura, ganadería, silvicultura y pesca",2021,590.182
400,11 Cádiz,"A. Agricultura, ganadería, silvicultura y pesca",2020,517.282
401,11 Cádiz,"A. Agricultura, ganadería, silvicultura y pesca",2019,652.209
402,11 Cádiz,"B_E. Industrias extractivas, industria manufacturera, suministro de energía eléctrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación",2021,2.965.350
403,11 Cádiz,"B_E. Industrias extractivas, industria manufacturera, suministro de energía eléctrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación",2020,2.230.039
404,11 Cádiz,"B_E. Industrias extractivas, industria manufacturera, suministro de energía eléctrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación",2019,3.068.425
405,11 Cádiz,C. - De las cuales: Industria manufacturera,2021,1.903.996
406,11 Cádiz,C. - De las cuales: Industria manufacturera,2020,1.325.381
407,11 Cádiz,C. - De las cuales: Industria manufacturera,2019,2.016.715
408,11 Cádiz,F. Construcción,2021,1.228.858
409,11 Cádiz,F. Construcción,2020,1.285.220
410,11 Cádiz,F. Construcción,2019,1.519.941
411,11 Cádiz,"G_J. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería, información y comunicaciones",2021,4.713.925
412,11 Cádiz,"G_J. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería, información y comunicaciones",2020,3.915.656
413,11 Cádiz,"G_J. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería, información y comunicaciones",2019,4.931.412
414,11 Cádiz,"K_N. Actividades financieras y de seguros, actividades inmobiliarias, actividades profesionales, científicas y técnicas, actividades administrativas y servicios auxiliares",2021,4.743.273
415,11 Cádiz,"K_N. Actividades financieras y de seguros, actividades inmobiliarias, actividades profesionales, científicas y técnicas, actividades administrativas y servicios auxiliares",2020,4.504.009
416,11 Cádiz,"K_N. Actividades financieras y de seguros, actividades inmobiliarias, actividades profesionales, científicas y técnicas, actividades administrativas y servicios auxiliares",2019,4.618.525
417,11 Cádiz,"O_U. Administración pública y defensa, seguridad social obligatoria, educación, actividades sanitarias y de servicios sociales, actividades artísticas, recreativas y de entretenimiento, reparación de artículos de uso doméstico y otros servicios",2021,6.237.843
418,11 Cádiz,"O_U. Administración pública y defensa, seguridad social obligatoria, educación, actividades sanitarias y de servicios sociales, actividades artísticas, recreativas y de entretenimiento, reparación de artículos de uso doméstico y otros servicios",2020,6.029.118
419,11 Cádiz,"O_U. Administración pública y defensa, seguridad social obligatoria, educación, actividades sanitarias y de servicios sociales, actividades artísticas, recreativas y de entretenimiento, reparación de artículos de uso doméstico y otros servicios",2019,6.208.929
420,11 Cádiz,Valor añadido bruto total,2021,20.479.431
421,11 Cádiz,Valor añadido bruto total,2020,18.481.324
422,11 Cádiz,Valor añadido bruto total,2019,20.999.441
423,11 Cádiz,Impuestos netos sobre los productos,2021,2.156.311
424,11 Cádiz,Impuestos netos sobre los productos,2020,1.772.393
425,11 Cádiz,Impuestos netos sobre los productos,2019,2.154.451
426,11 Cádiz,PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2021,22.635.742
427,11 Cádiz,PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2020,20.253.717
428,11 Cádiz,PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2019,23.153.892
429,39 Cantabria,PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2021,14.022.067
430,39 Cantabria,PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2020,12.852.323
431,39 Cantabria,PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2019,14.180.759
432,39 Cantabria,"A. Agricultura, ganadería, silvicultura y pesca",2021,185.011
433,39 Cantabria,"A. Agricultura, ganadería, silvicultura y pesca",2020,155.059
434,39 Cantabria,"A. Agricultura, ganadería, silvicultura y pesca",2019,153.770
435,39 Cantabria,"B_E. Industrias extractivas, industria manufacturera, suministro de energía eléctrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación",2021,2.834.352
436,39 Cantabria,"B_E. Industrias extractivas, industria manufacturera, suministro de energía eléctrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación",2020,2.479.943
437,39 Cantabria,"B_E. Industrias extractivas, industria manufacturera, suministro de energía eléctrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación",2019,2.671.327
438,39 Cantabria,C. - De las cuales: Industria manufacturera,2021,2.264.179
439,39 Cantabria,C. - De las cuales: Industria manufacturera,2020,2.001.452
440,39 Cantabria,C. - De las cuales: Industria manufacturera,2019,2.188.319
441,39 Cantabria,F. Construcción,2021,824.530
442,39 Cantabria,F. Construcción,2020,810.175
443,39 Cantabria,F. Construcción,2019,929.138
444,39 Cantabria,"G_J. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería, información y comunicaciones",2021,2.693.982
445,39 Cantabria,"G_J. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería, información y comunicaciones",2020,2.319.072
446,39 Cantabria,"G_J. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería, información y comunicaciones",2019,2.921.214
447,39 Cantabria,"K_N. Actividades financieras y de seguros, actividades inmobiliarias, actividades profesionales, científicas y técnicas, actividades administrativas y servicios auxiliares",2021,3.078.541
448,39 Cantabria,"K_N. Actividades financieras y de seguros, actividades inmobiliarias, actividades profesionales, científicas y técnicas, actividades administrativas y servicios auxiliares",2020,2.940.643
449,39 Cantabria,"K_N. Actividades financieras y de seguros, actividades inmobiliarias, actividades profesionales, científicas y técnicas, actividades administrativas y servicios auxiliares",2019,2.967.918
450,39 Cantabria,"O_U. Administración pública y defensa, seguridad social obligatoria, educación, actividades sanitarias y de servicios sociales, actividades artísticas, recreativas y de entretenimiento, reparación de artículos de uso doméstico y otros servicios",2021,3.069.890
451,39 Cantabria,"O_U. Administración pública y defensa, seguridad social obligatoria, educación, actividades sanitarias y de servicios sociales, actividades artísticas, recreativas y de entretenimiento, reparación de artículos de uso doméstico y otros servicios",2020,3.022.731
452,39 Cantabria,"O_U. Administración pública y defensa, seguridad social obligatoria, educación, actividades sanitarias y de servicios sociales, actividades artísticas, recreativas y de entretenimiento, reparación de artículos de uso doméstico y otros servicios",2019,3.217.884
453,39 Cantabria,Valor añadido bruto total,2021,12.686.306
454,39 Cantabria,Valor añadido bruto total,2020,11.727.623
455,39 Cantabria,Valor añadido bruto total,2019,12.861.251
456,39 Cantabria,Impuestos netos sobre los productos,2021,1.335.761
457,39 Cantabria,Impuestos netos sobre los productos,2020,1.124.700
458,39 Cantabria,Impuestos netos sobre los productos,2019,1.319.508
459,39 Cantabria,PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2021,14.022.067
460,39 Cantabria,PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2020,12.852.323
461,39 Cantabria,PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2019,14.180.759
462,12 Castellón/Castelló,PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2021,16.147.043
463,12 Castellón/Castelló,PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2020,14.226.621
464,12 Castellón/Castelló,PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2019,16.082.541
465,12 Castellón/Castelló,"A. Agricultura, ganadería, silvicultura y pesca",2021,429.078
466,12 Castellón/Castelló,"A. Agricultura, ganadería, silvicultura y pesca",2020,394.736
467,12 Castellón/Castelló,"A. Agricultura, ganadería, silvicultura y pesca",2019,366.391
468,12 Castellón/Castelló,"B_E. Industrias extractivas, industria manufacturera, suministro de energía eléctrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación",2021,5.233.733
469,12 Castellón/Castelló,"B_E. Industrias extractivas, industria manufacturera, suministro de energía eléctrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación",2020,4.312.375
470,12 Castellón/Castelló,"B_E. Industrias extractivas, industria manufacturera, suministro de energía eléctrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación",2019,4.928.270
471,12 Castellón/Castelló,C. - De las cuales: Industria manufacturera,2021,4.811.949
472,12 Castellón/Castelló,C. - De las cuales: Industria manufacturera,2020,3.975.218
473,12 Castellón/Castelló,C. - De las cuales: Industria manufacturera,2019,4.574.401
474,12 Castellón/Castelló,F. Construcción,2021,758.542
475,12 Castellón/Castelló,F. Construcción,2020,749.752
476,12 Castellón/Castelló,F. Construcción,2019,889.592
477,12 Castellón/Castelló,"G_J. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería, información y comunicaciones",2021,2.930.316
478,12 Castellón/Castelló,"G_J. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería, información y comunicaciones",2020,2.492.836
479,12 Castellón/Castelló,"G_J. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería, información y comunicaciones",2019,3.183.379
480,12 Castellón/Castelló,"K_N. Actividades financieras y de seguros, actividades inmobiliarias, actividades profesionales, científicas y técnicas, actividades administrativas y servicios auxiliares",2021,2.748.923
481,12 Castellón/Castelló,"K_N. Actividades financieras y de seguros, actividades inmobiliarias, actividades profesionales, científicas y técnicas, actividades administrativas y servicios auxiliares",2020,2.600.229
482,12 Castellón/Castelló,"K_N. Actividades financieras y de seguros, actividades inmobiliarias, actividades profesionales, científicas y técnicas, actividades administrativas y servicios auxiliares",2019,2.651.625
483,12 Castellón/Castelló,"O_U. Administración pública y defensa, seguridad social obligatoria, educación, actividades sanitarias y de servicios sociales, actividades artísticas, recreativas y de entretenimiento, reparación de artículos de uso doméstico y otros servicios",2021,2.508.262
484,12 Castellón/Castelló,"O_U. Administración pública y defensa, seguridad social obligatoria, educación, actividades sanitarias y de servicios sociales, actividades artísticas, recreativas y de entretenimiento, reparación de artículos de uso doméstico y otros servicios",2020,2.431.729
485,12 Castellón/Castelló,"O_U. Administración pública y defensa, seguridad social obligatoria, educación, actividades sanitarias y de servicios sociales, actividades artísticas, recreativas y de entretenimiento, reparación de artículos de uso doméstico y otros servicios",2019,2.566.816
486,12 Castellón/Castelló,Valor añadido bruto total,2021,14.608.854
487,12 Castellón/Castelló,Valor añadido bruto total,2020,12.981.657
488,12 Castellón/Castelló,Valor añadido bruto total,2019,14.586.073
489,12 Castellón/Castelló,Impuestos netos sobre los productos,2021,1.538.189
490,12 Castellón/Castelló,Impuestos netos sobre los productos,2020,1.244.964
491,12 Castellón/Castelló,Impuestos netos sobre los productos,2019,1.496.468
492,12 Castellón/Castelló,PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2021,16.147.043
493,12 Castellón/Castelló,PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2020,14.226.621
494,12 Castellón/Castelló,PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2019,16.082.541
495,13 Ciudad Real,PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2021,10.832.838
496,13 Ciudad Real,PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2020,9.995.769
497,13 Ciudad Real,PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2019,10.769.403
498,13 Ciudad Real,"A. Agricultura, ganadería, silvicultura y pesca",2021,962.771
499,13 Ciudad Real,"A. Agricultura, ganadería, silvicultura y pesca",2020,1.067.394
500,13 Ciudad Real,"A. Agricultura, ganadería, silvicultura y pesca",2019,868.740
501,13 Ciudad Real,"B_E. Industrias extractivas, industria manufacturera, suministro de energía eléctrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación",2021,1.830.190
502,13 Ciudad Real,"B_E. Industrias extractivas, industria manufacturera, suministro de energía eléctrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación",2020,1.425.229
503,13 Ciudad Real,"B_E. Industrias extractivas, industria manufacturera, suministro de energía eléctrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación",2019,1.844.805
504,13 Ciudad Real,C. - De las cuales: Industria manufacturera,2021,1.547.223
505,13 Ciudad Real,C. - De las cuales: Industria manufacturera,2020,1.184.306
506,13 Ciudad Real,C. - De las cuales: Industria manufacturera,2019,1.589.514
507,13 Ciudad Real,F. Construcción,2021,660.968
508,13 Ciudad Real,F. Construcción,2020,635.088
509,13 Ciudad Real,F. Construcción,2019,697.770
510,13 Ciudad Real,"G_J. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería, información y comunicaciones",2021,2.003.563
511,13 Ciudad Real,"G_J. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería, información y comunicaciones",2020,1.764.264
512,13 Ciudad Real,"G_J. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería, información y comunicaciones",2019,2.097.107
513,13 Ciudad Real,"K_N. Actividades financieras y de seguros, actividades inmobiliarias, actividades profesionales, científicas y técnicas, actividades administrativas y servicios auxiliares",2021,1.715.384
514,13 Ciudad Real,"K_N. Actividades financieras y de seguros, actividades inmobiliarias, actividades profesionales, científicas y técnicas, actividades administrativas y servicios auxiliares",2020,1.655.507
515,13 Ciudad Real,"K_N. Actividades financieras y de seguros, actividades inmobiliarias, actividades profesionales, científicas y técnicas, actividades administrativas y servicios auxiliares",2019,1.669.390
516,13 Ciudad Real,"O_U. Administración pública y defensa, seguridad social obligatoria, educación, actividades sanitarias y de servicios sociales, actividades artísticas, recreativas y de entretenimiento, reparación de artículos de uso doméstico y otros servicios",2021,2.628.011
517,13 Ciudad Real,"O_U. Administración pública y defensa, seguridad social obligatoria, educación, actividades sanitarias y de servicios sociales, actividades artísticas, recreativas y de entretenimiento, reparación de artículos de uso doméstico y otros servicios",2020,2.573.562
518,13 Ciudad Real,"O_U. Administración pública y defensa, seguridad social obligatoria, educación, actividades sanitarias y de servicios sociales, actividades artísticas, recreativas y de entretenimiento, reparación de artículos de uso doméstico y otros servicios",2019,2.589.507
519,13 Ciudad Real,Valor añadido bruto total,2021,9.800.887
520,13 Ciudad Real,Valor añadido bruto total,2020,9.121.044
521,13 Ciudad Real,Valor añadido bruto total,2019,9.767.319
522,13 Ciudad Real,Impuestos netos sobre los productos,2021,1.031.951
523,13 Ciudad Real,Impuestos netos sobre los productos,2020,874.725
524,13 Ciudad Real,Impuestos netos sobre los productos,2019,1.002.084
525,13 Ciudad Real,PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2021,10.832.838
526,13 Ciudad Real,PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2020,9.995.769
527,13 Ciudad Real,PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2019,10.769.403
528,14 Córdoba,PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2021,14.616.131
529,14 Córdoba,PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2020,13.007.297
530,14 Córdoba,PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2019,14.121.822
531,14 Córdoba,"A. Agricultura, ganadería, silvicultura y pesca",2021,1.495.086
532,14 Córdoba,"A. Agricultura, ganadería, silvicultura y pesca",2020,1.135.706
533,14 Córdoba,"A. Agricultura, ganadería, silvicultura y pesca",2019,851.623
534,14 Córdoba,"B_E. Industrias extractivas, industria manufacturera, suministro de energía eléctrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación",2021,1.519.904
535,14 Córdoba,"B_E. Industrias extractivas, industria manufacturera, suministro de energía eléctrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación",2020,1.269.133
536,14 Córdoba,"B_E. Industrias extractivas, industria manufacturera, suministro de energía eléctrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación",2019,1.391.994
537,14 Córdoba,C. - De las cuales: Industria manufacturera,2021,1.230.162
538,14 Córdoba,C. - De las cuales: Industria manufacturera,2020,1.011.867
539,14 Córdoba,C. - De las cuales: Industria manufacturera,2019,1.051.099
540,14 Córdoba,F. Construcción,2021,780.631
541,14 Córdoba,F. Construcción,2020,689.441
542,14 Córdoba,F. Construcción,2019,789.781
543,14 Córdoba,"G_J. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería, información y comunicaciones",2021,2.674.401
544,14 Córdoba,"G_J. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería, información y comunicaciones",2020,2.262.007
545,14 Córdoba,"G_J. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería, información y comunicaciones",2019,3.046.711
546,14 Córdoba,"K_N. Actividades financieras y de seguros, actividades inmobiliarias, actividades profesionales, científicas y técnicas, actividades administrativas y servicios auxiliares",2021,2.786.778
547,14 Córdoba,"K_N. Actividades financieras y de seguros, actividades inmobiliarias, actividades profesionales, científicas y técnicas, actividades administrativas y servicios auxiliares",2020,2.665.513
548,14 Córdoba,"K_N. Actividades financieras y de seguros, actividades inmobiliarias, actividades profesionales, científicas y técnicas, actividades administrativas y servicios auxiliares",2019,2.738.673
549,14 Córdoba,"O_U. Administración pública y defensa, seguridad social obligatoria, educación, actividades sanitarias y de servicios sociales, actividades artísticas, recreativas y de entretenimiento, reparación de artículos de uso doméstico y otros servicios",2021,3.966.979
550,14 Córdoba,"O_U. Administración pública y defensa, seguridad social obligatoria, educación, actividades sanitarias y de servicios sociales, actividades artísticas, recreativas y de entretenimiento, reparación de artículos de uso doméstico y otros servicios",2020,3.847.235
551,14 Córdoba,"O_U. Administración pública y defensa, seguridad social obligatoria, educación, actividades sanitarias y de servicios sociales, actividades artísticas, recreativas y de entretenimiento, reparación de artículos de uso doméstico y otros servicios",2019,3.989.016
552,14 Córdoba,Valor añadido bruto total,2021,13.223.779
553,14 Córdoba,Valor añadido bruto total,2020,11.869.035
554,14 Córdoba,Valor añadido bruto total,2019,12.807.798
555,14 Córdoba,Impuestos netos sobre los productos,2021,1.392.352
556,14 Córdoba,Impuestos netos sobre los productos,2020,1.138.262
557,14 Córdoba,Impuestos netos sobre los productos,2019,1.314.024
558,14 Córdoba,PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2021,14.616.131
559,14 Córdoba,PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2020,13.007.297
560,14 Córdoba,PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2019,14.121.822
561,"15 Coruña, A",PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2021,27.347.965
562,"15 Coruña, A",PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2020,25.361.458
563,"15 Coruña, A",PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2019,27.718.066
564,"15 Coruña, A","A. Agricultura, ganadería, silvicultura y pesca",2021,971.640
565,"15 Coruña, A","A. Agricultura, ganadería, silvicultura y pesca",2020,908.992
566,"15 Coruña, A","A. Agricultura, ganadería, silvicultura y pesca",2019,963.008
567,"15 Coruña, A","B_E. Industrias extractivas, industria manufacturera, suministro de energía eléctrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación",2021,3.953.030
568,"15 Coruña, A","B_E. Industrias extractivas, industria manufacturera, suministro de energía eléctrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación",2020,3.628.728
569,"15 Coruña, A","B_E. Industrias extractivas, industria manufacturera, suministro de energía eléctrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación",2019,4.181.304
570,"15 Coruña, A",C. - De las cuales: Industria manufacturera,2021,2.597.552
571,"15 Coruña, A",C. - De las cuales: Industria manufacturera,2020,2.355.242
572,"15 Coruña, A",C. - De las cuales: Industria manufacturera,2019,2.912.326
573,"15 Coruña, A",F. Construcción,2021,1.762.785
574,"15 Coruña, A",F. Construcción,2020,1.716.942
575,"15 Coruña, A",F. Construcción,2019,1.887.684
576,"15 Coruña, A","G_J. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería, información y comunicaciones",2021,6.169.564
577,"15 Coruña, A","G_J. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería, información y comunicaciones",2020,5.397.387
578,"15 Coruña, A","G_J. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería, información y comunicaciones",2019,6.485.156
579,"15 Coruña, A","K_N. Actividades financieras y de seguros, actividades inmobiliarias, actividades profesionales, científicas y técnicas, actividades administrativas y servicios auxiliares",2021,5.622.858
580,"15 Coruña, A","K_N. Actividades financieras y de seguros, actividades inmobiliarias, actividades profesionales, científicas y técnicas, actividades administrativas y servicios auxiliares",2020,5.371.364
581,"15 Coruña, A","K_N. Actividades financieras y de seguros, actividades inmobiliarias, actividades profesionales, científicas y técnicas, actividades administrativas y servicios auxiliares",2019,5.434.532
582,"15 Coruña, A","O_U. Administración pública y defensa, seguridad social obligatoria, educación, actividades sanitarias y de servicios sociales, actividades artísticas, recreativas y de entretenimiento, reparación de artículos de uso doméstico y otros servicios",2021,6.262.883
583,"15 Coruña, A","O_U. Administración pública y defensa, seguridad social obligatoria, educación, actividades sanitarias y de servicios sociales, actividades artísticas, recreativas y de entretenimiento, reparación de artículos de uso doméstico y otros servicios",2020,6.118.677
584,"15 Coruña, A","O_U. Administración pública y defensa, seguridad social obligatoria, educación, actividades sanitarias y de servicios sociales, actividades artísticas, recreativas y de entretenimiento, reparación de artículos de uso doméstico y otros servicios",2019,6.187.238
585,"15 Coruña, A",Valor añadido bruto total,2021,24.742.760
586,"15 Coruña, A",Valor añadido bruto total,2020,23.142.090
587,"15 Coruña, A",Valor añadido bruto total,2019,25.138.922
588,"15 Coruña, A",Impuestos netos sobre los productos,2021,2.605.205
589,"15 Coruña, A",Impuestos netos sobre los productos,2020,2.219.368
590,"15 Coruña, A",Impuestos netos sobre los productos,2019,2.579.144
591,"15 Coruña, A",PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2021,27.347.965
592,"15 Coruña, A",PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2020,25.361.458
593,"15 Coruña, A",PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2019,27.718.066
594,16 Cuenca,PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2021,4.594.001
595,16 Cuenca,PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2020,4.195.214
596,16 Cuenca,PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2019,4.515.520
597,16 Cuenca,"A. Agricultura, ganadería, silvicultura y pesca",2021,757.799
598,16 Cuenca,"A. Agricultura, ganadería, silvicultura y pesca",2020,695.451
599,16 Cuenca,"A. Agricultura, ganadería, silvicultura y pesca",2019,695.787
600,16 Cuenca,"B_E. Industrias extractivas, industria manufacturera, suministro de energía eléctrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación",2021,513.832
601,16 Cuenca,"B_E. Industrias extractivas, industria manufacturera, suministro de energía eléctrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación",2020,433.609
602,16 Cuenca,"B_E. Industrias extractivas, industria manufacturera, suministro de energía eléctrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación",2019,471.007
603,16 Cuenca,C. - De las cuales: Industria manufacturera,2021,288.247
604,16 Cuenca,C. - De las cuales: Industria manufacturera,2020,254.710
605,16 Cuenca,C. - De las cuales: Industria manufacturera,2019,272.495
606,16 Cuenca,F. Construcción,2021,273.704
607,16 Cuenca,F. Construcción,2020,252.164
608,16 Cuenca,F. Construcción,2019,276.267
609,16 Cuenca,"G_J. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería, información y comunicaciones",2021,987.352
610,16 Cuenca,"G_J. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería, información y comunicaciones",2020,898.560
611,16 Cuenca,"G_J. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería, información y comunicaciones",2019,1.063.817
612,16 Cuenca,"K_N. Actividades financieras y de seguros, actividades inmobiliarias, actividades profesionales, científicas y técnicas, actividades administrativas y servicios auxiliares",2021,671.677
613,16 Cuenca,"K_N. Actividades financieras y de seguros, actividades inmobiliarias, actividades profesionales, científicas y técnicas, actividades administrativas y servicios auxiliares",2020,645.053
614,16 Cuenca,"K_N. Actividades financieras y de seguros, actividades inmobiliarias, actividades profesionales, científicas y técnicas, actividades administrativas y servicios auxiliares",2019,655.596
615,16 Cuenca,"O_U. Administración pública y defensa, seguridad social obligatoria, educación, actividades sanitarias y de servicios sociales, actividades artísticas, recreativas y de entretenimiento, reparación de artículos de uso doméstico y otros servicios",2021,952.006
616,16 Cuenca,"O_U. Administración pública y defensa, seguridad social obligatoria, educación, actividades sanitarias y de servicios sociales, actividades artísticas, recreativas y de entretenimiento, reparación de artículos de uso doméstico y otros servicios",2020,903.256
617,16 Cuenca,"O_U. Administración pública y defensa, seguridad social obligatoria, educación, actividades sanitarias y de servicios sociales, actividades artísticas, recreativas y de entretenimiento, reparación de artículos de uso doméstico y otros servicios",2019,932.880
618,16 Cuenca,Valor añadido bruto total,2021,4.156.370
619,16 Cuenca,Valor añadido bruto total,2020,3.828.093
620,16 Cuenca,Valor añadido bruto total,2019,4.095.354
621,16 Cuenca,Impuestos netos sobre los productos,2021,437.631
622,16 Cuenca,Impuestos netos sobre los productos,2020,367.121
623,16 Cuenca,Impuestos netos sobre los productos,2019,420.166
624,16 Cuenca,PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2021,4.594.001
625,16 Cuenca,PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2020,4.195.214
